sim_clct0_pid,sim_clct0_nhit,sim_clct0_cc_code,sim_clct0_bend,sim_clct0_slope,sim_clct0_KeyHalfStrip,sim_clct0_KeyQuartStrip,sim_clct0_KeyEighthStrip,sim_clct1_pid,sim_clct1_nhit,sim_clct1_cc_code,sim_clct1_bend,sim_clct1_slope,sim_clct1_KeyHalfStrip,sim_clct1_KeyQuartStrip,sim_clct1_KeyEighthStrip
10,5,3903,0,0,10,20,41,0,0,0,0,0,0,0,0
2,4,3880,0,12,137,275,550,0,0,0,0,0,0,0,0
3,6,3775,1,12,4,8,16,10,5,701,1,0,12,25,50
10,6,3055,0,0,154,308,616,10,4,979,1,0,148,297,595
10,6,2489,1,0,4,8,16,0,0,0,0,0,0,0,0
10,5,3903,0,0,5,10,21,0,0,0,0,0,0,0,0
10,5,4047,0,0,155,310,621,0,0,0,0,0,0,0,0
10,6,2539,0,1,133,267,534,10,5,3327,1,0,128,256,513
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,2395,1,4,24,49,98,0,0,0,0,0,0,0,0
10,4,251,1,0,66,132,264,0,0,0,0,0,0,0,0
10,6,1531,0,2,105,211,422,8,6,3002,0,5,112,224,448
10,6,4078,1,1,106,213,427,0,0,0,0,0,0,0,0
10,6,3839,0,0,53,106,213,8,4,1456,0,5,45,90,180
6,4,655,0,8,147,294,589,0,0,0,0,0,0,0,0
10,5,1607,0,1,1,2,4,10,4,2596,1,1,6,13,27
10,5,1023,1,0,9,18,37,0,0,0,0,0,0,0,0
10,5,2285,1,0,120,241,482,0,0,0,0,0,0,0,0
10,5,4047,0,0,85,170,341,0,0,0,0,0,0,0,0
10,6,4095,1,0,74,148,297,0,0,0,0,0,0,0,0
10,4,3252,1,2,3,6,13,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,3755,1,0,38,77,154,0,0,0,0,0,0,0,0
10,6,2794,1,0,119,239,478,0,0,0,0,0,0,0,0
10,6,4095,1,0,82,164,329,0,0,0,0,0,0,0,0
4,4,380,0,11,58,116,232,0,0,0,0,0,0,0,0
10,5,4092,0,0,110,220,441,0,0,0,0,0,0,0,0
10,6,4095,1,0,49,98,197,0,0,0,0,0,0,0,0
10,6,4095,1,0,15,30,61,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,4091,1,0,12,24,48,0,0,0,0,0,0,0,0
10,6,4095,1,0,146,292,585,0,0,0,0,0,0,0,0
10,6,2794,1,0,131,263,526,0,0,0,0,0,0,0,0
10,6,2670,0,0,27,54,109,0,0,0,0,0,0,0,0
9,5,953,1,3,39,79,158,4,5,3928,0,11,32,64,128
10,4,4080,0,0,120,240,481,0,0,0,0,0,0,0,0
10,6,4095,1,0,47,94,189,0,0,0,0,0,0,0,0
10,4,3900,0,0,112,224,449,0,0,0,0,0,0,0,0
10,6,1373,0,1,3,7,14,0,0,0,0,0,0,0,0
10,5,4047,0,0,153,306,613,0,0,0,0,0,0,0,0
10,6,2790,1,0,4,8,17,0,0,0,0,0,0,0,0
10,5,726,1,1,155,310,620,0,0,0,0,0,0,0,0
10,4,2255,0,1,154,308,616,0,0,0,0,0,0,0,0
10,5,3059,0,1,4,8,17,0,0,0,0,0,0,0,0
9,6,1790,1,4,5,10,21,0,0,0,0,0,0,0,0
10,5,3068,0,1,156,312,625,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,575,0,2,49,98,196,0,0,0,0,0,0,0,0
7,6,1749,1,7,109,218,437,0,0,0,0,0,0,0,0
10,6,2043,0,1,74,148,296,0,0,0,0,0,0,0,0
10,6,4095,1,0,85,170,341,0,0,0,0,0,0,0,0
10,5,3375,0,1,127,255,511,0,0,0,0,0,0,0,0
10,6,2746,0,0,40,81,162,0,0,0,0,0,0,0,0
10,6,4095,1,0,119,238,477,0,0,0,0,0,0,0,0
2,6,4011,0,13,73,147,295,0,0,0,0,0,0,0,0
7,4,3854,1,7,57,115,230,0,0,0,0,0,0,0,0
10,5,3259,1,0,154,308,616,0,0,0,0,0,0,0,0
10,5,4092,0,0,4,8,17,0,0,0,0,0,0,0,0
5,6,4073,1,9,19,38,76,0,0,0,0,0,0,0,0
6,5,4047,0,6,129,259,519,10,4,3884,1,0,144,288,576
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,733,0,4,105,211,423,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
