sim_clct0_pid,sim_clct0_nhit,sim_clct0_cc_code,sim_clct0_bend,sim_clct0_slope,sim_clct0_KeyHalfStrip,sim_clct0_KeyQuartStrip,sim_clct0_KeyEighthStrip,sim_clct1_pid,sim_clct1_nhit,sim_clct1_cc_code,sim_clct1_bend,sim_clct1_slope,sim_clct1_KeyHalfStrip,sim_clct1_KeyQuartStrip,sim_clct1_KeyEighthStrip
10,5,4047,0,0,138,276,553,0,0,0,0,0,0,0,0
10,5,2759,0,0,212,425,850,0,0,0,0,0,0,0,0
10,5,3327,1,0,220,440,881,0,0,0,0,0,0,0,0
10,5,4092,0,0,130,260,521,0,0,0,0,0,0,0,0
10,6,4095,1,0,132,264,529,0,0,0,0,0,0,0,0
10,6,4095,1,0,90,180,361,0,0,0,0,0,0,0,0
4,5,379,0,9,43,87,175,0,0,0,0,0,0,0,0
10,6,1958,1,0,102,204,408,0,0,0,0,0,0,0,0
10,4,1256,0,1,4,9,18,0,0,0,0,0,0,0,0
10,4,3315,0,0,27,54,109,0,0,0,0,0,0,0,0
10,6,4095,1,0,48,96,193,0,0,0,0,0,0,0,0
10,6,4095,1,0,81,162,325,0,0,0,0,0,0,0,0
10,6,4095,1,0,114,228,457,0,0,0,0,0,0,0,0
10,6,4095,1,0,12,24,49,0,0,0,0,0,0,0,0
9,5,3893,1,3,109,218,437,0,0,0,0,0,0,0,0
10,6,4095,1,0,73,146,293,0,0,0,0,0,0,0,0
10,6,4095,1,0,56,112,225,0,0,0,0,0,0,0,0
10,5,1023,1,0,138,276,553,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,3837,1,1,214,429,859,8,5,923,0,5,205,410,820
10,6,4095,1,0,152,304,609,0,0,0,0,0,0,0,0
10,6,4095,1,0,198,396,793,0,0,0,0,0,0,0,0
10,5,3903,0,0,57,114,229,0,0,0,0,0,0,0,0
10,6,4095,1,0,68,136,273,0,0,0,0,0,0,0,0
10,5,2702,0,0,9,19,38,0,0,0,0,0,0,0,0
10,6,4095,1,0,119,238,477,0,0,0,0,0,0,0,0
10,6,4095,1,0,168,336,673,0,0,0,0,0,0,0,0
10,6,4095,1,0,184,368,737,10,4,2016,0,2,211,422,844
10,6,2795,0,0,22,45,91,0,0,0,0,0,0,0,0
10,5,2862,1,0,6,13,27,10,4,191,0,2,14,28,56
10,4,2016,0,2,113,226,452,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,3770,1,0,140,281,562,0,0,0,0,0,0,0,0
7,4,230,1,8,182,364,728,0,0,0,0,0,0,0,0
3,4,476,1,12,132,265,530,0,0,0,0,0,0,0,0
9,6,3067,1,5,194,389,778,3,5,1815,1,12,184,368,737
10,6,4095,1,0,193,386,773,0,0,0,0,0,0,0,0
10,6,4095,1,0,157,314,629,0,0,0,0,0,0,0,0
10,4,4044,0,0,59,118,237,0,0,0,0,0,0,0,0
2,5,1788,0,15,36,72,144,0,0,0,0,0,0,0,0
10,5,4092,0,0,69,138,277,0,0,0,0,0,0,0,0
2,5,3883,0,12,51,103,207,3,4,4036,1,15,56,112,224
